EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS,MODEL_MATCHED
episode_61,c_6,c_12,c_10,c_1,0.7263,0.8209459283,model_253
episode_62,c_2,c_10,c_6,c_5,0.7341,0.8171454423,model_1240
episode_63,c_2,c_10,c_1,c_1,0.6954,0.9171999553,model_1364
episode_64,c_5,m_1,m_2,s,0.7092,0.8411604651,model_852
episode_65,c_5,c_12,c_9,c_1,0.7434,0.7715346405,model_518
episode_66,c_5,c_2,c_1,m_1,0.6814,0.9465988613,model_360
episode_67,c_9,c_4,c_11,c_8,0.6997,0.9160119887,model_1955
episode_68,c_9,c_1,c_10,m_2,0.6978,0.8862281027,model_453
episode_69,c_12,m_3,c_8,c_6,0.7638,0.7135346032,model_1518
episode_70,c_1,c_6,c_11,c_9,0.7541,0.7401165671,model_190
episode_71,c_2,c_11,s,-,0.7027,0.8776281724,model_182
episode_71,c_2,c_11,s,-,0.7309,0.7971672516,model_1933
episode_72,c_1,m_3,c_11,c_2,0.738,0.7620108969,model_1687
episode_73,c_10,c_10,c_9,c_1,0.7295,0.8125290442,model_834
episode_74,c_5,m_1,c_2,m_2,0.702,0.8677793053,model_383
episode_75,c_5,c_4,m_3,c_11,0.7391,0.7554947794,model_1879
episode_76,c_12,c_5,c_8,c_4,0.7453,0.7687450197,model_995
episode_77,c_6,c_8,c_10,c_7,0.7254,0.8263549631,model_1273
episode_78,c_2,c_1,c_12,m_3,0.7318,0.7879382739,model_1651
episode_79,c_9,c_3,m_2,c_2,0.7471,0.7470782783,model_920
episode_80,c_8,c_2,c_7,c_4,0.7048,0.8648912992,model_1606
episode_81,c_2,m_1,c_8,c_9,0.7736,0.7046771322,model_1406
episode_82,c_8,c_8,c_1,c_11,0.7407,0.8046840809,model_671
episode_83,c_1,c_8,c_3,c_5,0.7255,0.8044401811,model_1830
episode_84,c_7,c_7,c_11,m_2,0.713,0.8769320754,model_2053
episode_85,c_10,m_3,c_9,m_3,0.7639,0.6880619052,model_1083
episode_86,c_12,c_4,m_1,c_2,0.7394,0.7735637818,model_144
episode_87,c_10,m_2,c_11,c_11,0.76,0.7138206359,model_1033
episode_88,c_12,m_1,s,-,0.703,0.8900160341,model_1235
episode_88,c_12,m_1,s,-,0.7304,0.8135914484,model_1905
episode_89,c_6,c_3,c_1,c_4,0.7259,0.8498185801,model_838
episode_90,c_12,c_6,c_4,c_12,0.7272,0.8585141121,model_1907
episode_91,c_11,c_5,c_5,c_3,0.7335,0.7908434458,model_1762
episode_92,c_7,c_2,c_10,c_12,0.7583,0.7303047463,model_1868
episode_93,c_7,c_12,s,-,0.7081,0.8526553727,model_391
episode_93,c_7,c_12,s,-,0.7261,0.8198903063,model_1567
episode_94,c_8,c_11,c_12,c_8,0.7666,0.7129476029,model_1872
episode_95,c_7,m_1,c_4,c_1,0.7028,0.8705081628,model_605
episode_96,c_7,c_9,c_11,c_6,0.7354,0.7738984372,model_489
episode_97,c_3,c_5,s,-,0.7028,0.8758703238,model_1704
episode_98,c_6,m_1,s,-,0.711,0.8612067211,model_1398
episode_99,c_1,c_5,c_8,c_2,0.7282,0.8328195712,model_776
episode_100,c_7,m_1,c_9,c_10,0.7483,0.761277498,model_406
episode_101,c_5,c_3,c_6,c_9,0.7147,0.8642854575,model_5
episode_102,c_8,c_11,m_2,c_1,0.7393,0.7671522031,model_299
episode_103,c_11,c_1,m_3,m_1,0.7262,0.8111765959,model_569
episode_104,c_5,c_8,c_12,m_3,0.7169,0.82753003,model_579
episode_105,c_6,m_3,c_9,c_11,0.7832,0.6501892401,model_270
episode_106,c_11,c_6,c_8,m_2,0.7314,0.7863259398,model_1131
episode_107,c_9,c_10,s,-,0.7011,0.8853812638,model_288
episode_108,c_8,c_10,c_4,c_11,0.7327,0.8007753844,model_26
episode_109,c_7,c_5,c_4,c_10,0.7288,0.8193512447,model_474
episode_110,c_11,c_5,c_7,m_2,0.7345,0.7882099216,model_1621
episode_111,c_4,c_5,m_3,c_2,0.7104,0.8354599511,model_821
episode_112,c_3,c_1,c_6,m_3,0.721,0.8069136542,model_718
episode_113,c_6,c_3,c_3,c_1,0.7346,0.7870796384,model_1951
episode_114,c_9,m_2,m_2,c_2,0.7149,0.8308344697,model_612
episode_115,c_4,c_9,c_11,c_3,0.7417,0.7592806885,model_2029
episode_116,m_1,m_2,c_4,c_5,0.6725,0.9412686082,model_698
episode_117,c_11,c_11,c_6,c_7,0.7227,0.8183976976,model_1698
episode_118,c_2,c_7,m_2,c_8,0.7222,0.8051841713,model_1938
episode_119,c_6,m_3,c_9,m_2,0.7261,0.7827118906,model_1519
episode_120,c_11,c_11,c_9,c_10,0.738,0.8011596905,model_904
episode_121,c_9,m_2,m_1,c_7,0.739,0.7790494974,model_1917
episode_122,c_3,c_6,c_1,m_2,0.6813,0.9156428357,model_334
episode_123,c_2,c_1,c_10,c_8,0.7034,0.8915609694,model_1572
episode_124,m_1,c_7,c_11,c_9,0.7106,0.937867742,model_668
episode_125,c_2,c_5,c_5,c_7,0.7198,0.8222274322,model_2034
episode_126,c_2,c_11,c_11,m_2,0.7043,0.8947805203,model_2025
episode_127,c_2,c_8,m_3,c_4,0.7349,0.7659013645,model_1562
episode_128,c_5,c_4,c_4,c_11,0.706,0.8899975504,model_126
episode_129,c_12,c_6,m_2,m_3,0.7548,0.7268474554,model_242
episode_130,c_6,c_7,c_2,c_1,0.6972,0.8970665266,model_1527
episode_131,c_4,c_7,c_10,c_3,0.7226,0.8149588659,model_33
episode_132,c_1,c_2,m_3,m_2,0.7024,0.8715403479,model_2054
episode_133,c_8,c_6,c_8,c_7,0.7109,0.9382096507,model_1446
episode_134,c_10,c_7,m_2,c_8,0.7374,0.7604970471,model_1768
episode_135,c_2,c_6,c_5,s,0.7213,0.812184321,model_352
episode_136,c_8,c_8,c_6,c_4,0.751,0.7918688383,model_558
episode_137,c_12,c_5,c_8,c_4,0.7453,0.7687450197,model_995
episode_138,c_2,c_2,c_4,c_1,0.7161,0.8236143051,model_1158
episode_139,c_1,m_3,c_11,c_2,0.738,0.7620108969,model_1687
episode_140,c_10,c_1,c_1,s,0.678,0.9409360253,model_577
episode_141,c_7,c_3,c_5,c_12,0.7288,0.8711289335,model_815
episode_142,c_9,c_4,c_6,c_2,0.7239,0.8449650784,model_1891
episode_143,c_11,c_1,s,-,0.6648,0.9658538896,model_224
episode_143,c_11,c_1,s,-,0.6999,0.8998106122,model_1307
episode_144,c_11,c_6,c_7,m_3,0.7393,0.7592977126,model_574
episode_145,c_7,c_7,c_3,c_10,0.7328,0.803633564,model_993
episode_146,c_11,c_8,c_2,c_7,0.7296,0.8234360091,model_350
episode_147,c_8,c_4,s,-,0.6848,0.9017666427,model_46
episode_147,c_8,c_4,s,-,0.7012,0.8856213157,model_1923
episode_148,c_9,c_11,c_8,c_6,0.7442,0.7630780788,model_1268
episode_149,c_2,m_3,c_9,c_1,0.7628,0.7070952824,model_1728
episode_150,c_9,c_11,c_5,c_11,0.7124,0.9090737953,model_1125
episode_151,c_7,c_6,c_11,c_8,0.7435,0.7630189577,model_2049
episode_152,c_10,m_1,c_4,c_11,0.739,0.7732443058,model_1536
episode_153,c_9,c_7,s,-,0.7022,0.8965753549,model_337
episode_153,c_9,c_7,s,-,0.6685,0.995799735,model_1520
episode_154,c_8,c_6,m_1,m_3,0.7281,0.8073756664,model_795
episode_155,c_2,c_7,c_1,c_4,0.7002,0.8892723557,model_150
episode_156,c_7,c_10,c_5,c_5,0.7354,0.793348402,model_490
episode_157,c_10,c_12,c_11,c_7,0.7606,0.7346600438,model_362
episode_158,c_5,c_9,c_3,c_11,0.7416,0.8519901667,model_536
episode_159,c_5,c_7,c_3,c_6,0.7155,0.8433741025,model_1499
episode_160,c_6,c_9,c_6,c_6,0.7541,0.7287921838,model_797
episode_161,c_5,m_3,m_2,c_12,0.7156,0.8246446155,model_105
episode_162,c_8,c_2,c_6,c_6,0.7421,0.7755582386,model_618
episode_163,c_10,c_9,m_1,s,0.7264,0.8071827404,model_1293
episode_164,c_11,c_6,m_2,c_2,0.7481,0.7643162394,model_1425
episode_165,c_2,m_3,c_8,c_3,0.7591,0.7220356972,model_1751
episode_166,c_7,m_1,m_2,c_6,0.7413,0.7792871591,model_140
episode_167,m_1,c_7,m_1,m_2,0.6084,1.1114373125,model_840
episode_168,c_3,c_6,c_5,c_8,0.7241,0.817873143,model_1952
episode_169,c_5,c_6,c_11,c_7,0.7558,0.7378811741,model_313
episode_170,c_5,c_9,c_3,c_4,0.7401,0.7828069387,model_1049
episode_171,c_9,m_3,c_8,c_11,0.7711,0.7193366932,model_1021
episode_172,c_2,c_1,c_12,c_9,0.7382,0.7760415648,model_1674
episode_173,c_12,c_9,c_3,m_1,0.7563,0.7240177765,model_1804
episode_174,c_7,c_1,c_5,c_2,0.7165,0.8436643237,model_511
episode_175,c_5,m_2,c_8,c_3,0.7447,0.7732150639,model_615
episode_176,c_12,c_2,c_12,m_2,0.7423,0.7626180931,model_1534
episode_177,c_10,m_3,m_3,c_1,0.7247,0.8120008371,model_1689
episode_178,c_1,c_10,c_7,c_2,0.7236,0.8044521817,model_1287
episode_179,c_4,c_1,c_7,c_2,0.6979,0.8998645809,model_1812
episode_180,c_12,c_10,c_3,c_3,0.7383,0.7778798167,model_380
episode_181,c_3,m_2,c_2,c_9,0.746,0.7352220037,model_1857
episode_182,c_1,c_1,m_2,c_8,0.7232,0.8060328196,model_606
episode_183,c_2,c_4,c_9,c_8,0.7435,0.7618846831,model_1220
episode_184,c_2,c_6,c_7,c_2,0.7154,0.854589181,model_1579
episode_185,c_2,s,-,-,0.6772,0.9486585265,model_250
episode_185,c_2,s,-,-,0.6899,0.9436688982,model_1043
episode_186,c_9,c_11,c_7,m_3,0.7087,0.8927543093,model_1089
episode_187,c_2,c_5,s,-,0.7029,0.8936433578,model_1231
episode_188,c_3,m_1,c_5,c_6,0.7314,0.7829235833,model_231
episode_189,c_2,c_5,m_3,c_8,0.7278,0.7953279351,model_602
episode_190,m_1,c_6,c_8,c_10,0.6903,0.905122327,model_1625
episode_191,c_10,c_2,m_3,c_8,0.7454,0.7400028546,model_713
episode_192,c_9,c_7,s,-,0.7022,0.8965753549,model_337
episode_192,c_9,c_7,s,-,0.6685,0.995799735,model_1520
episode_193,c_12,m_3,c_11,c_10,0.7916,0.63901881,model_674
episode_194,c_6,m_3,c_8,s,0.7381,0.7739884102,model_1670
episode_195,c_10,m_1,c_4,c_11,0.739,0.7732443058,model_1536
episode_196,c_9,c_7,c_10,c_5,0.7101,0.8781219827,model_213
episode_197,c_5,c_11,m_3,m_2,0.7381,0.7444478851,model_1693
episode_198,c_8,m_3,c_12,c_12,0.7729,0.7123670655,model_1046
episode_199,c_8,c_11,c_10,c_2,0.7533,0.7903001865,model_152
episode_200,c_12,c_2,c_12,m_2,0.7423,0.7626180931,model_1534
episode_201,c_4,m_1,c_7,c_5,0.737,0.7868890296,model_398
episode_202,c_1,c_1,c_4,s,0.7083,0.8586752849,model_114
episode_203,c_12,c_8,m_1,m_3,0.7363,0.7700016438,model_1850
episode_204,c_10,m_1,c_7,c_12,0.7609,0.7327970257,model_752
episode_205,c_1,c_12,c_11,c_12,0.7669,0.6988646129,model_1807
episode_206,c_4,m_1,m_3,c_4,0.6914,0.9267254698,model_620
episode_207,c_1,c_6,c_7,s,0.7159,0.8354594097,model_1575
episode_208,c_2,m_2,c_6,c_6,0.7641,0.7246577671,model_1325
episode_209,c_8,m_3,c_11,c_6,0.7635,0.7100142729,model_310
episode_210,c_2,m_3,c_8,c_6,0.7371,0.7709150921,model_1008
episode_211,c_9,c_2,c_3,m_3,0.7154,0.8192665898,model_1207
episode_212,c_3,m_1,m_3,m_2,0.6727,0.9922747056,model_1013
episode_213,c_9,m_1,c_10,c_4,0.7459,0.7662300817,model_1715
episode_214,c_4,m_2,c_11,c_2,0.7366,0.7918611801,model_317
episode_215,c_4,c_5,c_3,c_3,0.7329,0.7712995602,model_1912
episode_216,c_7,c_9,c_5,c_12,0.6895,0.998207092,model_23
episode_217,c_6,c_4,s,-,0.6731,0.937131893,model_444
episode_217,c_6,c_4,s,-,0.6979,0.9253407131,model_1315
episode_217,c_6,c_4,s,-,0.684,0.9104518469,model_1936
episode_218,c_7,c_9,c_2,m_2,0.738,0.7884788572,model_938
episode_219,c_1,m_3,m_2,c_5,0.6873,0.9039675798,model_207
episode_220,c_2,c_5,c_4,c_3,0.7176,0.8333778988,model_1034
episode_221,c_5,c_4,c_10,c_12,0.7481,0.7525218474,model_1027
episode_222,c_3,c_3,c_10,c_9,0.7396,0.7805715912,model_1676
episode_223,c_4,c_7,c_3,c_6,0.7371,0.7863302718,model_2
episode_223,c_4,c_7,c_3,c_6,0.7288,0.8192272733,model_1155
episode_224,c_12,c_3,c_5,c_8,0.7476,0.7550336497,model_206
episode_225,c_1,c_1,c_6,c_7,0.6963,0.9306928176,model_2040
episode_226,c_12,c_8,m_1,m_3,0.7363,0.7700016438,model_1850
episode_227,c_10,c_12,c_2,c_7,0.7501,0.7609769917,model_1355
episode_228,c_1,c_5,c_12,c_6,0.7439,0.7546769404,model_519
episode_229,c_5,m_2,c_5,m_3,0.7327,0.7943757248,model_228
episode_230,c_10,c_3,c_4,c_9,0.701,0.8698536365,model_375
episode_231,c_5,c_3,c_9,c_8,0.7236,0.8403343574,model_1228
episode_232,c_10,c_4,c_3,m_3,0.7111,0.8283148057,model_706
episode_233,c_8,c_7,c_6,c_12,0.7285,0.8525561927,model_2010
episode_234,m_2,c_8,m_3,s,0.6891,0.897268104,model_1863
episode_235,c_10,c_5,m_2,s,0.7171,0.8623568889,model_198
episode_236,c_2,c_5,c_2,c_2,0.7248,0.8193752006,model_1682
episode_237,c_7,c_9,c_4,c_10,0.6996,1.0208803638,model_289
episode_238,c_8,c_6,m_2,c_4,0.7173,0.8443778829,model_949
episode_239,c_11,m_3,m_2,c_5,0.7012,0.8634085464,model_30
episode_240,c_12,c_12,c_7,c_7,0.7405,0.7711323669,model_1066
episode_241,c_10,m_3,c_7,c_3,0.7627,0.7215586305,model_1203
episode_242,c_6,c_9,c_2,c_8,0.7323,0.8101150307,model_1535
episode_243,c_7,m_2,c_1,c_9,0.7313,0.8015811863,model_950
episode_244,c_5,c_11,m_2,c_9,0.773,0.6703214809,model_1788
episode_245,c_8,c_7,c_11,s,0.677,0.9587247545,model_910
episode_246,c_4,c_12,c_4,c_4,0.7282,0.8327663187,model_1397
episode_247,c_1,c_6,c_11,c_9,0.7541,0.7401165671,model_190
episode_248,c_5,c_11,c_11,c_4,0.7327,0.8042854309,model_127
episode_248,c_5,c_11,c_11,c_4,0.6983,0.8822168702,model_1491
episode_249,c_6,c_3,c_10,c_4,0.7339,0.8054866842,model_1806
episode_250,c_1,c_5,c_7,m_3,0.7419,0.7531944425,model_1445
episode_251,m_2,m_3,c_10,c_4,0.6055,1.1048950537,model_563
episode_252,c_7,c_4,c_5,c_8,0.7342,0.7858336545,model_935
episode_253,c_8,c_7,c_5,c_12,0.7191,0.8306212075,model_792
episode_254,c_5,c_12,c_8,c_6,0.7355,0.7691480504,model_1627
episode_255,c_2,c_5,c_10,c_12,0.7173,0.8455085829,model_1799
episode_256,c_12,c_9,c_9,c_8,0.7626,0.7414946794,model_1886
episode_257,c_8,m_1,c_10,c_1,0.7441,0.7423926428,model_1844
episode_258,c_1,m_1,m_2,m_2,0.6908,0.9568412893,model_831
episode_259,c_12,c_3,c_7,m_1,0.7288,0.7947791016,model_1700
episode_260,c_11,c_6,c_11,c_6,0.7592,0.7275649897,model_981
episode_261,c_5,c_10,c_10,c_5,0.6959,0.9025020225,model_1160
episode_262,c_11,c_1,c_11,c_5,0.741,0.7737423454,model_103
episode_263,c_4,c_6,c_9,c_10,0.7343,0.7826547118,model_1669
episode_264,c_3,c_6,c_1,m_2,0.6813,0.9156428357,model_334
episode_265,c_10,c_10,c_7,s,0.7072,0.8545269935,model_594
episode_266,c_3,c_4,c_2,m_2,0.7082,0.8348408708,model_603
episode_267,c_5,m_2,c_9,m_2,0.7467,0.7750286433,model_960
episode_268,c_11,m_3,c_9,c_11,0.7567,0.7398401132,model_346
episode_269,c_4,c_9,c_4,c_12,0.7342,0.8088925929,model_433
episode_270,c_11,c_3,s,-,0.7029,0.8693831643,model_892
episode_270,c_11,c_3,s,-,0.7255,0.8000208246,model_1234
episode_270,c_11,c_3,s,-,0.7046,0.8794313765,model_1976
episode_271,c_10,m_2,c_11,c_11,0.76,0.7138206359,model_1033
episode_272,c_6,c_6,c_11,c_10,0.7166,0.8451116946,model_1332
episode_273,c_5,c_10,c_3,c_12,0.7163,0.9440973538,model_44
episode_274,c_12,c_12,c_11,m_2,0.7476,0.7528800495,model_517
episode_275,c_12,c_5,c_9,s,0.7271,0.8067157066,model_617
episode_276,c_11,c_9,m_2,c_7,0.7235,0.8252062973,model_467
episode_277,c_6,c_7,c_2,c_5,0.7235,0.8489206846,model_172
episode_278,c_2,m_3,c_7,c_8,0.7466,0.753097322,model_214
episode_279,c_9,c_3,m_2,c_2,0.7471,0.7470782783,model_920
episode_280,c_6,c_1,m_2,c_8,0.7099,0.835666832,model_1261
episode_281,c_11,c_8,c_12,m_3,0.7432,0.7858569288,model_1714
episode_282,c_6,c_1,c_6,c_12,0.7364,0.784661207,model_112
episode_283,c_3,m_3,c_11,c_10,0.7195,0.8443382937,model_498
episode_284,c_11,m_2,c_1,c_10,0.768,0.7256743255,model_542
episode_285,c_10,c_8,m_2,c_4,0.6941,0.8685959763,model_131
episode_286,c_3,c_6,c_10,c_1,0.7332,0.8003782773,model_1973
episode_287,c_10,m_1,c_10,c_6,0.7624,0.7010786333,model_665
episode_288,c_11,c_8,c_12,c_7,0.7816,0.670923123,model_1011
episode_289,c_1,c_3,m_2,c_11,0.7583,0.7639938903,model_630
episode_290,c_9,c_5,c_2,m_1,0.7392,0.7744453037,model_1522
episode_291,c_11,c_9,c_10,c_6,0.7452,0.759698036,model_1842
episode_292,c_1,c_1,c_11,c_6,0.7271,0.8297973987,model_1594
episode_293,c_11,m_2,c_3,c_4,0.7394,0.76344312,model_509
episode_294,c_11,c_10,m_1,c_1,0.7302,0.8009351631,model_2042
episode_295,c_12,c_10,c_6,m_3,0.761,0.7030323519,model_20
episode_296,c_8,c_6,c_3,c_5,0.7461,0.77316395,model_978
episode_297,c_3,c_11,c_10,c_3,0.7224,0.8185229527,model_469
episode_298,c_7,c_4,c_6,m_3,0.6926,0.9162213668,model_1301
episode_299,c_8,c_11,c_12,c_8,0.7666,0.7129476029,model_1872
episode_300,c_7,m_3,c_3,m_1,0.714,0.8305894013,model_1956
episode_301,m_2,c_9,m_2,c_7,0.7179,0.8526341682,model_2043
episode_302,c_8,c_6,m_2,c_3,0.7504,0.7895045175,model_1819
episode_303,c_10,c_10,m_3,c_7,0.7597,0.7023822917,model_919
episode_304,c_5,c_3,m_1,c_9,0.7389,0.7677965093,model_1473
episode_305,c_6,m_3,c_3,c_8,0.7471,0.773602103,model_1962
episode_306,c_2,c_7,m_2,c_8,0.7222,0.8051841713,model_1938
episode_307,c_4,c_11,m_2,m_1,0.7354,0.7732309641,model_1697
episode_308,c_2,c_11,c_7,c_12,0.7226,0.8360046186,model_1800
episode_309,c_5,c_10,c_6,s,0.717,0.8283129026,model_596
episode_310,c_7,m_3,c_5,c_3,0.7167,0.817483981,model_1380
episode_311,c_4,c_7,c_9,c_4,0.7097,0.8694775596,model_1635
episode_312,c_9,c_2,c_3,m_3,0.7154,0.8192665898,model_1207
episode_313,c_3,m_1,c_4,m_1,0.6682,0.9526095943,model_1277
episode_314,c_8,m_1,c_2,c_2,0.7277,0.8085538344,model_269
episode_315,c_6,c_12,c_7,c_12,0.7165,0.8765576422,model_1366
episode_316,c_8,c_4,c_2,c_5,0.7107,0.8399426954,model_1885
episode_317,c_6,c_11,c_4,c_9,0.7161,0.8539475494,model_1026
episode_318,c_1,c_4,c_11,m_1,0.7135,0.8356865856,model_803
episode_319,c_1,c_10,c_5,c_7,0.7124,0.8525966891,model_749
episode_320,c_7,m_2,c_4,c_9,0.7504,0.7934897252,model_1784
episode_321,c_1,s,-,-,0.6824,0.9222057566,model_275
episode_321,c_1,s,-,-,0.6812,0.9313422739,model_1330
episode_321,c_1,s,-,-,0.6678,0.9662022907,model_1639
episode_322,c_10,m_2,c_11,c_11,0.76,0.7138206359,model_1033
episode_323,c_7,c_3,c_6,c_1,0.7183,0.8288707768,model_1713
episode_324,c_2,c_5,c_2,c_2,0.7248,0.8193752006,model_1682
episode_325,c_9,c_6,c_6,m_3,0.7418,0.8022163939,model_864
episode_326,m_2,c_7,c_5,c_11,0.7202,0.8810535474,model_1423
episode_327,c_1,c_3,c_9,c_8,0.7303,0.7890602434,model_1924
episode_328,c_3,c_11,c_6,m_2,0.7095,0.8423264822,model_1555
episode_329,c_5,c_12,c_12,c_12,0.7309,0.8424393962,model_1497
episode_330,c_10,c_6,c_9,c_10,0.756,0.7291960112,model_748
episode_331,c_7,c_6,c_3,c_10,0.7539,0.7333140047,model_434
episode_332,c_9,c_12,m_3,c_6,0.7762,0.6634890669,model_1730
episode_333,c_4,c_8,c_4,c_1,0.7176,0.8252080023,model_432
episode_334,c_9,c_4,c_9,c_12,0.7475,0.7696301625,model_613
episode_335,c_11,c_6,c_12,c_2,0.7314,0.8036078853,model_481
episode_336,c_12,m_1,s,-,0.703,0.8900160341,model_1235
episode_336,c_12,m_1,s,-,0.7304,0.8135914484,model_1905
episode_337,c_2,m_1,c_1,c_11,0.7533,0.7513059779,model_1342
episode_337,c_2,m_1,c_1,c_11,0.7222,0.8323528993,model_1837
episode_338,c_9,m_1,m_3,m_3,0.6379,1.0747249052,model_199
episode_339,c_9,c_5,c_7,m_2,0.7108,0.8322971715,model_1051
episode_340,c_9,c_11,c_12,c_9,0.7462,0.8377771833,model_1211
episode_341,c_10,c_5,c_5,c_4,0.718,0.8690554668,model_625
episode_342,m_3,c_12,c_1,c_5,0.6786,0.9605158808,model_1802
episode_343,c_10,c_12,c_3,s,0.7365,0.7831371754,model_583
episode_344,c_1,c_1,c_8,c_7,0.7287,0.8156379168,model_1619
episode_345,c_10,c_6,c_10,c_9,0.729,0.801501258,model_2064
episode_346,c_3,c_6,m_1,c_2,0.7298,0.8212579532,model_1732
episode_347,c_7,c_9,c_7,c_8,0.7125,0.9081037186,model_1424
episode_348,c_1,c_3,m_1,s,0.7152,0.8510912469,model_287
episode_349,c_9,m_1,c_10,c_4,0.7459,0.7662300817,model_1715
episode_350,c_3,c_11,c_10,m_2,0.7239,0.8182396158,model_751
episode_351,c_7,m_1,c_2,m_1,0.7185,0.8180349734,model_1792
episode_352,c_2,m_1,c_8,c_9,0.7736,0.7046771322,model_1406
episode_353,c_1,c_9,s,-,0.707,0.8873637054,model_154
episode_353,c_1,c_9,s,-,0.7025,0.8917335058,model_1865
episode_354,c_11,c_5,c_5,c_3,0.7335,0.7908434458,model_1762
